,to_be_eliminated,"0,  SMILE","1,  AtomNum_no_H","2,  AtomNum_H","3,  BalabanJ","4,  BertzCT","5,  Ipc","6,  HallKierAlpha","7,  Kappa1","8,  Kappa2","9,  Kappa3","10,  Chi0","11,  Chi0n","12,  Chi0v","13,  Chi1","14,  Chi1n","15,  Chi1v","16,  Chi2n","17,  Chi2v","18,  Chi3n","19,  Chi3v","20,  Chi4n","21,  Chi4v","22,  MolLogP","23,  MolMR","24,  MolWt","25,  ExactMolWt","26,  HeavyAtomCount","27,  HeavyAtomMolWt","28,  NHOHCount","29,  NOCount","30,  NumHAcceptors","31,  NumHDonors","32,  NumHeteroatoms","33,  NumRotatableBonds","34,  NumValenceElectrons","35,  CalcNumAmideBonds","36,  CalcNumAromaticRings","37,  CalcNumRings","38,  CalcNumSaturatedRings","39,  CalcNumAliphaticRings","40,  CalcNumAromaticCarbocycles","41,  CalcNumAromaticHeterocycles","42,  CalcNumHeterocycles","43,  CalcNumSaturatedCarbocycles","44,  CalcNumSaturatedHeterocycles","45,  CalcNumAliphaticCarbocycles","46,  CalcNumAliphaticHeterocycles","47,  RingCount","48,  FractionCSP3","49,  CalcNumSpiroAtoms","50,  CalcNumBridgeheadAtoms","51,  TPSA","52,  LabuteASA","53,  PEOE_VSA1","54,  PEOE_VSA2","55,  PEOE_VSA3","56,  PEOE_VSA4","57,  PEOE_VSA5","58,  PEOE_VSA6","59,  PEOE_VSA7","60,  PEOE_VSA8","61,  PEOE_VSA9","62,  PEOE_VSA10","63,  PEOE_VSA11","64,  PEOE_VSA12","65,  PEOE_VSA13","66,  PEOE_VSA14","67,  SMR_VSA1","68,  SMR_VSA2","69,  SMR_VSA3","70,  SMR_VSA4","71,  SMR_VSA5","72,  SMR_VSA6","73,  SMR_VSA7","74,  SMR_VSA8","75,  SMR_VSA9","76,  SMR_VSA10","77,  SlogP_VSA1","78,  SlogP_VSA2","79,  SlogP_VSA3","80,  SlogP_VSA4","81,  SlogP_VSA5","82,  SlogP_VSA6","83,  SlogP_VSA7","84,  SlogP_VSA8","85,  SlogP_VSA9","86,  SlogP_VSA10","87,  SlogP_VSA11","88,  SlogP_VSA12","89,  EState_VSA1","90,  EState_VSA2","91,  EState_VSA3","92,  EState_VSA4","93,  EState_VSA5","94,  EState_VSA6","95,  EState_VSA7","96,  EState_VSA8","97,  EState_VSA9","98,  EState_VSA10","99,  EState_VSA11","100,  VSA_EState1","101,  VSA_EState2","102,  VSA_EState3","103,  VSA_EState4","104,  VSA_EState5","105,  VSA_EState6","106,  VSA_EState7","107,  VSA_EState8","108,  VSA_EState9","109,  VSA_EState10","110,  CalcPBF","111,  CalcPMI1","112,  CalcPMI2","113,  CalcPMI3","114,  CalcNPR1","115,  CalcNPR2","116,  CalcRadiusOfGyration","117,  CalcInertialShapeFactor","118,  CalcEccentricity","119,  CalcAsphericity","120,  CalcSpherocityIndex","121,  CalcNumHBA","122,  CalcNumHBD","123,  CalcNumLipinskiHBA","124,  CalcNumLipinskiHBD","125,  NumRadicalElectrons"
110,1.0,O=C([O-])[O-].[Cu+2],5,0,0.0,29.87430298092722,3.2451124978365313,-0.2105194805194806,8.838958669723471,3.7894805194805192,273.8098387038745,3.5773502691896257,2.0262562159693527,2.9679079924077114,1.7320508075688772,0.6123724356957946,0.6123724356957946,0.25000000000000006,0.25000000000000006,0.0,0.0,0.0,0.0,-2.4495000000000005,5.396,123.55399999999999,122.91434136000001,5,123.55399999999999,0,3,3,0,4,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,63.19,39.0848609044861,15.007591973753232,0.0,0.0,0.0,0.0,0.0,6.155365629538759,0.0,0.0,0.0,0.0,0.0,0.0,17.068678152405656,32.07627012615889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.155365629538759,10.213054789681411,6.155365629538759,17.068678152405656,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,6.155365629538759,17.068678152405656,0.0,0.0,0.0,0.0,0.0,0.0,15.007591973753232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.666666666666668,0.0,0.0,15.999000486493511,83.73201064744306,99.73101113393659,0.16042152089491202,0.8395784791050878,0.898435090718196,0.052476933156784825,0.9870485984153785,0.5959406304139742,0.0,3,0,3,0,0
111,1.0,O=[Cu],2,0,2.0,2.0,2.0,0.3194805194805194,2.31948051948052,1.3194805194805201,1.449561820293528,2.0,0.7097596350416266,1.6514114114799852,1.0,0.12309149097933275,0.5075192189225524,0.0,0.0,0.0,0.0,0.0,0.0,-0.1213,0.6865,79.545,78.92451212,2,79.545,0,1,1,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,17.07,20.67942235663529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.77944088438346,19.77944088438346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.77944088438346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.944718913462196,3.8347219709212665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8125,0.0,0.0,0.0,0.0,12.78109817084669,12.78109817084669,0.0,1.0,0.4008460812791121,0.0,1.0,1.0,0.0,1,0,1,0,0
112,1.0,O=S(=O)([O-])[O-].[Cu+2],6,0,0.0,90.7164928725825,3.6096404744368114,0.38948051948051926,9.63236900204287,2.543560415833434,332.43590902221274,4.5,2.342752796897079,4.1009011542631635,2.0,0.6666666666666669,2.0,0.40824829046386324,1.2247448713915892,0.0,0.0,0.0,0.0,-1.3405,10.4746,159.60899999999998,158.88132698,6,159.60899999999998,0,4,4,0,6,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,80.25999999999999,45.60180282394836,9.105499747380728,8.417796984328938,0.0,0.0,0.0,0.0,0.0,10.399000581649606,0.0,0.0,0.0,0.0,0.0,17.068678152405656,34.59197488411532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.399000581649606,0.0,17.523296731709664,27.467678734055262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.399000581649606,17.068678152405656,0.0,0.0,0.0,0.0,0.0,0.0,17.523296731709664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.083333333333336,0.0,-5.166666666666666,0.0,31.997999999999994,108.49017021596525,140.48817021596528,0.2277629493701221,0.7722370506298777,0.938190842860935,0.024133916201946302,0.9737166111832657,0.47233903520696385,0.0,4,0,4,0,0
113,1.0,[Cu],1,0,0.0,0.0,0.0,0.5194805194805194,1.5194805194805197,0.4444805194805197,4.21948051948052,0.0,0.30151134457776363,1.243163121016122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025,0.0,63.546,62.9295975,1,63.546,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,17.964098032124472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.068678152405656,0.0,0.0,0.0,0.0,0.0,0.0,17.068678152405656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.068678152405656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.068678152405656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
114,1.0,F[AlH3-3](F)(F)(F)(F)F.[Na+].[Na+].[Na+],10,3,-5.999999830000004e-08,71.557977376511,4.141709450076291,3.1124675324675333,23.16742094966914,4.559302379029804,117.30462243293017,6.408248290463863,5.267786838055362,11.267786838055361,2.4494897427831783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.6507,16.587000000000003,212.96399999999994,212.964740886,10,209.93999999999994,0,0,0,0,10,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,121.10435651923842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.50949062064073,109.81572558594415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.693765034696575,88.6718580978238,13.693765034696575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.14386748812039,0.0,0.0,13.693765034696575,88.6718580978238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.14386748812039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.75000000000001,0.0,-11.583333333333334,0.0,289.54960582503304,389.6849354438125,679.2345412688455,0.4262881055550256,0.5737118944449744,1.798714704798429,0.001981394147680701,0.9045874479906889,0.26630033014800114,0.0,0,0,0,0,0
115,1.0,CC(C)c1ccccc1,9,12,2.8482340505977506,162.65300142116237,129.22533870330605,-0.78,6.341654501216546,2.6743372612696805,1.5627607309331124,6.69023444431199,5.964101615137756,5.964101615137756,4.304530452640311,3.354059275497024,3.354059275497024,2.5653841409022116,2.5653841409022116,1.4662391580785155,1.4662391580785155,0.8379390982585982,0.8379390982585982,2.8100000000000014,40.53100000000002,120.19499999999995,120.093900384,9,108.09899999999998,0,0,0,0,0,1,48,0,1,1,0,0,1,0,0,0,0,0,0,1,0.3333333333333333,0,0,0.0,56.526229462686786,0.0,0.0,0.0,0.0,0.0,44.179309741689295,11.48135753785839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.76538044554264,0.0,35.89528683400505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.328831937239638,30.33183534230805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,0.0,5.563451491696996,0.0,6.06636706846161,38.112942673227685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.000000000000004,0.0,0.0,54.04633611912566,168.82127777777777,222.86761389690338,0.242504216624884,0.7574957833751162,1.4358618062675046,0.014015673175430243,0.9701503517079975,0.4489122353678944,0.0,0,0,0,0,0
116,1.0,N#CCC(=O)O,6,3,3.1275799516775433,91.45654516950492,14.834466856136647,-1.04,4.960000000000001,2.212525252525253,2.9600000000000004,4.991563831562721,3.0097822626503263,3.0097822626503263,2.770055610029662,1.358444521918437,1.358444521918437,0.728629121528409,0.728629121528409,0.2302826666571222,0.2302826666571222,0.06763020027772251,0.06763020027772251,-0.015320000000000056,17.865799999999997,85.062,85.016378336,6,82.038,1,3,2,1,3,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,61.089999999999996,34.817470790331264,5.106527394840706,4.794537184071822,0.0,5.261891554738487,0.0,0.0,0.0,0.0,6.069221312792274,6.4208216229260096,0.0,0.0,0.0,5.969305287951849,9.901064578912528,5.261891554738487,0.0,0.0,6.4208216229260096,0.0,0.0,0.0,6.069221312792274,5.969305287951849,0.0,11.075832682792555,4.794537184071822,11.33111286753076,6.4208216229260096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.390126910877859,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,10.368418949579192,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.666666666666664,0.0,0.0,23.39976353774791,118.49784488393865,141.89760842168653,0.16490597549896177,0.8350940245010385,1.3151642828486831,0.03568813946149011,0.9863092918779259,0.5868640157689073,0.0,2,1,3,1,0
117,1.0,N#CCl,3,0,2.475534205527556,26.264662506490403,2.7548875021634682,-0.22,2.7799999999999994,1.7799999999999987,1.7800000000000031,2.7071067811865475,1.3251780685091852,2.08110701452764,1.4142135623730951,0.4125890342545926,0.7905535072638198,0.08451542547285165,0.253546276418555,0.0,0.0,0.0,0.0,0.70628,11.466,61.471000000000004,60.971926679999996,3,61.471000000000004,0,1,1,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,23.79,23.43509693617994,0.0,0.0,0.0,5.261891554738487,0.0,0.0,0.0,11.600939890232516,0.0,0.0,5.528403134836605,0.0,0.0,0.0,0.0,5.261891554738487,0.0,0.0,0.0,0.0,0.0,0.0,5.528403134836605,11.600939890232516,0.0,0.0,0.0,10.790294689575092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.600939890232516,0.0,0.0,0.0,0.0,5.528403134836605,0.0,0.0,11.600939890232516,5.261891554738487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.307098765432098,4.304012345679012,0.0,3.4545091840837595e-14,41.97607831283825,41.97607831283828,8.229709212799916e-16,0.9999999999999991,0.8263533491809835,0.0,1.0,0.9999999999999977,0.0,1,0,1,0,0
118,1.0,Clc1nc(Cl)nc(Cl)n1,9,0,3.165670309917317,175.06517765499825,85.7569381887915,-0.1200000000000001,6.992612612612612,2.64283599179222,1.9304030200999895,6.8533711511285205,3.975534205527555,6.243321043582919,4.1815405503520555,1.9085874960137144,3.042480915041397,1.1425027494620783,2.156687855136299,0.5535462764185549,1.0606388292556652,0.3033871236027574,0.9134917464082577,1.8318000000000003,34.85699999999999,184.413,182.91578004,9,184.413,0,3,3,0,6,0,48,0,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0,0,38.67,66.00014574298152,0.0,0.0,0.0,14.951935562841626,0.0,0.0,34.802819670697545,0.0,0.0,0.0,0.0,15.850758960132776,0.0,0.0,0.0,0.0,14.951935562841626,0.0,0.0,0.0,15.850758960132776,0.0,0.0,34.802819670697545,0.0,14.951935562841626,0.0,0.0,0.0,0.0,15.850758960132776,0.0,0.0,0.0,0.0,34.802819670697545,0.0,15.850758960132776,0.0,0.0,0.0,0.0,0.0,14.951935562841626,34.802819670697545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.375925925925927,15.957407407407405,0.0,251.74242942351117,251.74958613189648,503.4920155554076,0.4999928929276293,0.5000071070723708,1.6523442270833357,0.001986185277616429,0.8660295070157022,0.2500000001515314,0.0,3,0,3,0,0
119,1.0,C1CCCCC1,6,12,2.0,15.509775004326936,34.3994618804395,0.0,4.166666666666667,2.2222222222222223,1.0,4.242640687119286,4.242640687119285,4.242640687119285,3.0,2.9999999999999996,2.9999999999999996,2.121320343559642,2.121320343559642,1.4999999999999996,1.4999999999999996,1.0606601717798207,1.0606601717798207,2.3406000000000002,27.701999999999984,84.162,84.093900384,6,72.06599999999999,0,0,0,0,0,0,36,0,0,1,1,1,0,0,0,1,0,1,0,1,1.0,0,0,0.0,39.55813044628337,0.0,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,36.03089074608378,36.032999999999994,72.06389074608376,0.4999853653896954,0.5000146346103048,0.9999853657109451,0.013877387548756389,0.8660338529157696,0.2500000006425155,0.0,0,0,0,0,0
120,1.0,OC1CCCCC1,7,12,2.1229179499593664,46.14170945007629,47.19725257297226,-0.04,5.10367816091954,2.3141072195146584,1.4750627509406329,5.112884175122364,4.5600977706223205,4.5600977706223205,3.3938468501173515,3.0746954706748872,3.0746954706748872,2.2918339472343705,2.2918339472343705,1.574695470674887,1.574695470674887,1.0810387176187242,1.0810387176187242,1.3114,29.091799999999985,100.161,100.088815004,7,88.06499999999998,1,1,1,1,1,0,42,0,0,1,1,1,0,0,0,1,0,1,0,1,1.0,0,0,20.23,44.35236419847938,5.106527394840706,0.0,0.0,0.0,0.0,19.26246486877803,12.841643245852019,0.0,6.103966387748303,0.0,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,38.20807450237835,0.0,0.0,0.0,0.0,0.0,0.0,11.210493782589008,0.0,0.0,32.10410811463005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.103966387748303,0.0,12.841643245852019,19.26246486877803,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.833333333333334,0.0,0.0,36.03089074608378,88.40267783602722,124.43356858211092,0.28955924961926816,0.7104407503807325,1.1886858923652306,0.019717546129717895,0.9571600916042866,0.3828559282624167,0.0,1,1,1,1,0
121,1.0,O=C1CCCCC1,7,10,2.2495440947344707,68.24920506009684,47.19725257297226,-0.33,4.8199250374812594,2.101967961325131,1.298148750019123,5.112884175122364,4.443782196396601,4.443782196396601,3.393846850117352,2.9112309264184786,2.9112309264184786,2.099335306374634,2.099335306374634,1.4112309264184786,1.4112309264184786,0.9461142625940431,0.9461142625940431,1.5196,28.091999999999985,98.145,98.07316494,7,88.06499999999998,0,1,1,0,1,0,40,0,0,1,1,1,0,0,0,1,0,1,0,1,0.8333333333333334,0,0,17.07,43.71965254632712,0.0,4.794537184071822,0.0,0.0,0.0,6.4208216229260096,12.841643245852019,12.841643245852019,0.0,5.783244946364939,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,32.10410811463005,0.0,0.0,0.0,0.0,5.783244946364939,0.0,5.783244946364939,4.794537184071822,0.0,32.10410811463005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.783244946364939,25.683286491704038,6.4208216229260096,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.166666666666664,0.0,0.0,36.03089074608378,88.40267848748096,124.4335692335647,0.289559248103323,0.7104407518966773,1.1886858954768262,0.01971754617179137,0.9571600920628891,0.3828559301765165,0.0,1,0,1,0,0
122,1.0,Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,23,0,2.71276740289369,690.9545330792267,89046.333236506,3.040000000000002,22.330387241343093,9.0264111912064,4.3877555435370486,17.63531001146206,10.187893020556135,26.047858411703174,10.589999272823988,5.298070655509999,13.228053351083519,3.900132728125964,11.83011542369948,2.543177108663308,14.584220260796673,1.4508023019286658,7.795064065882938,11.103900000000003,129.95800000000003,959.1709999999996,949.1782856200002,23,959.1709999999996,0,1,1,0,11,2,124,0,2,2,0,0,2,0,0,0,0,0,0,2,0.0,0,0,9.23,216.27751861148144,4.736862953800049,0.0,0.0,0.0,0.0,0.0,159.2994389794935,8.945439031664828,35.78175612665931,0.0,11.49902366656781,0.0,0.0,0.0,4.736862953800049,0.0,0.0,0.0,0.0,0.0,44.72719515832414,0.0,11.49902366656781,159.2994389794935,4.736862953800049,0.0,0.0,0.0,0.0,44.72719515832414,0.0,0.0,0.0,0.0,11.49902366656781,159.2994389794935,0.0,0.0,11.49902366656781,44.72719515832414,0.0,0.0,0.0,159.2994389794935,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.188614470479552,7.425411942554801,0.0,0.0,2026.8695267137186,6371.508751664155,8398.378278377872,0.2413405849950836,0.7586594150049166,2.9590322348264806,0.00037430106131941076,0.970440478357241,0.45071407891205667,0.0,1,0,1,0,0
123,1.0,ClCCl,3,2,1.6329931618554523,2.7548875021634682,2.7548875021634682,0.58,3.5799999999999996,2.58,2.580000000000001,2.7071067811865475,1.4630357272050019,2.974893619241911,1.4142135623730951,0.5345224838248487,1.6035674514745462,0.10101525445522105,0.9091372900969896,0.0,0.0,0.0,0.0,1.4215,16.573,84.933,83.953355424,3,82.917,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.0,29.345783481592896,0.0,0.0,0.0,0.0,23.20187978046503,0.0,0.0,0.0,5.33918526701467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33918526701467,0.0,0.0,0.0,23.20187978046503,0.0,5.33918526701467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.20187978046503,0.0,5.33918526701467,0.0,0.0,0.0,0.0,0.0,0.0,23.20187978046503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19444444444444464,9.527777777777777,0.0,2.567784549609844,53.17638704607875,55.744171595688584,0.0460637314378611,0.9539362685621391,0.8199322008942714,0.37150167785964855,0.9989385029350007,0.8681744077483547,0.0,0,0,0,0,0
124,1.0,ClC=CCCl,5,4,2.622415807990217,31.87430298092722,11.245112497836532,0.31999999999999995,5.32,4.320000000000001,4.320000000000001,4.121320343559643,2.6177362655842535,4.129594157621162,2.414213562373095,1.2270607559456133,2.1980190202424468,0.5159937680273502,1.076576783291019,0.17817416127494962,0.5345224838248488,0.033671751485073696,0.3030457633656633,1.9777,25.712999999999994,110.97099999999999,109.969005488,5,106.939,0,0,0,0,2,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0.0,41.386064678201855,0.0,0.0,0.0,0.0,11.600939890232516,17.676959997066398,0.0,11.415205373848552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.880003444970339,11.611222035712094,0.0,0.0,23.20187978046503,0.0,5.880003444970339,0.0,0.0,0.0,11.611222035712094,0.0,0.0,0.0,0.0,0.0,23.20187978046503,0.0,0.0,5.880003444970339,0.0,5.535201928878213,6.076020106833881,0.0,0.0,23.20187978046503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55516975308642,10.1670524691358,0.0,4.656468112641706,230.7353159885088,235.39178410115045,0.01978177841007726,0.980218221589923,1.4836367793800695,0.2105068042726971,0.999804321476425,0.9418286210409647,0.0,0,0,0,0,0
125,1.0,OCCNCCO,7,11,2.4474728878763443,28.870765403276856,35.509609925153406,-0.12,6.880000000000001,5.88,5.88,5.535533905932739,4.222854315746106,4.222854315746106,3.414213562373095,2.339562313220223,2.339562313220223,1.1972135954999577,1.1972135954999577,0.5771601883432526,0.5771601883432526,0.2831138830084189,0.2831138830084189,-1.4393999999999993,27.04129999999999,105.13700000000001,105.078978592,7,94.04899999999999,3,3,3,3,3,4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,52.49,42.97240705901943,15.529843393687742,0.0,0.0,0.0,0.0,0.0,0.0,13.08951281182515,13.213763929025836,0.0,0.0,0.0,0.0,0.0,10.213054789681411,0.0,5.316788604006331,0.0,0.0,26.303276740850986,0.0,0.0,0.0,0.0,5.316788604006331,36.5163315305324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929025836,13.08951281182515,0.0,0.0,0.0,0.0,5.316788604006331,10.213054789681411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,0.0,0.0,5.662964549289198,306.0718049681466,311.73476951743584,0.018165970251106233,0.9818340297488936,1.8206041612997388,0.1733780992628907,0.9998349851474673,0.9464920966721736,0.0,3,3,3,3,0
