,,,"0,  SMILE","eco-indicator 99, (H,A):ecosystem quality:total","1,  AtomNum_no_H","2,  AtomNum_H","3,  BalabanJ","4,  BertzCT","5,  Ipc","6,  HallKierAlpha","7,  Kappa1","8,  Kappa2","9,  Kappa3","10,  Chi0","11,  Chi0n","12,  Chi0v","13,  Chi1","14,  Chi1n","15,  Chi1v","16,  Chi2n","17,  Chi2v","18,  Chi3n","19,  Chi3v","20,  Chi4n","21,  Chi4v","22,  MolLogP","23,  MolMR","24,  MolWt","25,  ExactMolWt","26,  HeavyAtomCount","27,  HeavyAtomMolWt","28,  NHOHCount","29,  NOCount","30,  NumHAcceptors","31,  NumHDonors","32,  NumHeteroatoms","33,  NumRotatableBonds","34,  NumValenceElectrons","35,  CalcNumAmideBonds","36,  CalcNumAromaticRings","37,  CalcNumRings","38,  CalcNumSaturatedRings","39,  CalcNumAliphaticRings","40,  CalcNumAromaticCarbocycles","41,  CalcNumAromaticHeterocycles","42,  CalcNumHeterocycles","43,  CalcNumSaturatedCarbocycles","44,  CalcNumSaturatedHeterocycles","45,  CalcNumAliphaticCarbocycles","46,  CalcNumAliphaticHeterocycles","47,  RingCount","48,  FractionCSP3","49,  CalcNumSpiroAtoms","50,  CalcNumBridgeheadAtoms","51,  TPSA","52,  LabuteASA","53,  PEOE_VSA1","54,  PEOE_VSA2","55,  PEOE_VSA3","56,  PEOE_VSA4","57,  PEOE_VSA5","58,  PEOE_VSA6","59,  PEOE_VSA7","60,  PEOE_VSA8","61,  PEOE_VSA9","62,  PEOE_VSA10","63,  PEOE_VSA11","64,  PEOE_VSA12","65,  PEOE_VSA13","66,  PEOE_VSA14","67,  SMR_VSA1","68,  SMR_VSA2","69,  SMR_VSA3","70,  SMR_VSA4","71,  SMR_VSA5","72,  SMR_VSA6","73,  SMR_VSA7","74,  SMR_VSA8","75,  SMR_VSA9","76,  SMR_VSA10","77,  SlogP_VSA1","78,  SlogP_VSA2","79,  SlogP_VSA3","80,  SlogP_VSA4","81,  SlogP_VSA5","82,  SlogP_VSA6","83,  SlogP_VSA7","84,  SlogP_VSA8","85,  SlogP_VSA9","86,  SlogP_VSA10","87,  SlogP_VSA11","88,  SlogP_VSA12","89,  EState_VSA1","90,  EState_VSA2","91,  EState_VSA3","92,  EState_VSA4","93,  EState_VSA5","94,  EState_VSA6","95,  EState_VSA7","96,  EState_VSA8","97,  EState_VSA9","98,  EState_VSA10","99,  EState_VSA11","100,  VSA_EState1","101,  VSA_EState2","102,  VSA_EState3","103,  VSA_EState4","104,  VSA_EState5","105,  VSA_EState6","106,  VSA_EState7","107,  VSA_EState8","108,  VSA_EState9","109,  VSA_EState10","110,  CalcPBF","111,  CalcPMI1","112,  CalcPMI2","113,  CalcPMI3","114,  CalcNPR1","115,  CalcNPR2","116,  CalcRadiusOfGyration","117,  CalcInertialShapeFactor","118,  CalcEccentricity","119,  CalcAsphericity","120,  CalcSpherocityIndex","121,  CalcNumHBA","122,  CalcNumHBD","123,  CalcNumLipinskiHBA","124,  CalcNumLipinskiHBD","125,  NumRadicalElectrons"
10903,2-nitroaniline//[RoW] 2-nitroaniline production,C1=CC=C(C(=C1)N)[N+](=O)[O-],Nc1ccccc1[N+](=O)[O-],0.033064911,10,6,3.152941447,259.6796584,182.2382193,-1.58,6.538764846,2.344994096,1.047197434,7.560477932,5.150461522,5.150461522,4.715214055,2.704780573,2.704780573,1.81592551,1.81592551,1.133450971,1.133450971,0.653797544,0.653797544,1.177,37.5088,138.126,138.0429274,10,132.078,2,4,3,1,4,1,52,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,69.16,57.42426954,5.733667477,10.11431827,0,0,0,12.13273414,6.066367068,6.066367068,4.923311049,5.687386275,0,0,5.687386275,0,4.923311049,0,0,0,0,5.733667477,34.37978654,0,0,11.37477255,5.733667477,4.923311049,0,10.11431827,0,24.26546827,0,0,0,11.37477255,0,0,4.923311049,11.37477255,0,0,12.13273414,12.13273414,0,0,5.733667477,10.11431827,0,0,0,0,0,0,0,0,0,31.33333333,0,0,97.55908717,193.3706229,290.92971,0.335335594,0.664664406,1.484153413,0.006812942,0.942098742,0.3313431,0,3,1,4,2,0
10904,2-pyridinol//[RoW] 2-pyridinol production,C1=CC(=O)NC=C1,O=c1cccc[nH]1,0.4853064,7,5,3.275329776,173.776572,47.19725257,-1.05,4.118067227,1.598931215,0.891824957,5.112884175,3.717649367,3.717649367,3.39384685,2.031474414,2.031474414,1.22682185,1.22682185,0.680528148,0.680528148,0.376865602,0.376865602,0.3749,27.0627,95.101,95.03711378,7,90.061,1,2,1,1,2,0,36,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,32.86,40.8125732,4.983978521,4.794537184,0,0,0,6.066367068,6.066367068,12.26321064,0,0,0,5.559266895,0,0,0,0,4.983978521,0,0,0,34.74974886,0,0,0,5.559266895,4.983978521,0,0,0,29.19048196,0,0,0,0,0,0,0,5.559266895,0,0,6.066367068,18.32957771,0,4.983978521,0,4.794537184,0,0,0,0,0,0,0,0,0,19.16666667,0,0,37.49623219,88.4409386,125.9371708,0.29773761,0.70226239,1.182520243,0.018728879,0.954647744,0.372730224,0,1,1,2,1,0
10905,3-methyl-1-butyl acetate//[RoW] 3-methyl-1-butyl acetate production,CC(C)CCOC(=O)C,CC(=O)OCCC(C)C,0.022127689,9,14,3.00610503,86.91694058,65.14695103,-0.53,8.47,4.358753835,7.47,7.276020882,6.308060412,6.308060412,4.125897658,3.259872254,3.259872254,2.522565321,2.522565321,1.000526604,1.000526604,0.438356565,0.438356565,1.5956,36.088,130.187,130.0993797,9,116.075,0,2,2,0,2,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857,0,0,26.3,56.20397104,4.736862954,4.794537184,0,0,0,13.8474744,12.33872767,6.9237372,6.606881965,0,0,0,0,5.969305288,9.531400138,0,0,5.917906046,27.19203322,6.606881965,0,0,0,5.969305288,0,12.57618725,9.531400138,5.917906046,27.19203322,0,0,0,0,0,0,0,0,5.969305288,12.52478801,6.420821623,6.9237372,0,0,13.8474744,4.736862954,4.794537184,0,0,0,0,0,0,0,0,0,22.5,0,0,40.89962935,338.4149353,379.3145646,0.107825096,0.892174904,1.807716879,0.021813765,0.994169879,0.711403466,0,2,0,2,0,0
10906,4-methyl-2-pentanone//[RoW] 4-methyl-2-pentanone production,CC(C)CC(=O)C,CC(=O)CC(C)C,0.015902469,7,12,3.126006652,64.58027135,19.09358393,-0.33,6.67,2.779490232,5.67,5.86180732,5.192705341,5.192705341,3.125897658,2.620626365,2.620626365,2.299986098,2.299986098,0.695705769,0.695705769,0.574914957,0.574914957,1.6215,30.136,100.161,100.088815,7,88.065,0,1,1,0,1,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0,0,17.07,44.7254837,4.794537184,0,0,0,0,13.8474744,12.84164325,6.420821623,0,5.783244946,0,0,0,0,4.794537184,0,0,5.917906046,27.19203322,0,0,0,0,5.783244946,0,5.783244946,4.794537184,5.917906046,27.19203322,0,0,0,0,0,0,0,0,5.783244946,5.917906046,6.420821623,0,6.9237372,13.8474744,0,0,4.794537184,0,0,0,0,0,0,0,0,0,17.5,0,0,35.75949759,111.081452,146.8409496,0.243525377,0.756474623,1.291284454,0.021154509,0.969894526,0.447337697,0,1,0,1,0,0
10907,4-tert-butylbenzaldehyde//[RoW] 4-tert-butylbenzaldehyde production,CC(C)(C)C1=CC=C(C=C1)C=O,CC(C)(C)c1ccc(C=O)cc1,0.016689456,12,14,2.998837011,264.0507411,430.628114,-1.11,8.981827365,3.095651187,1.939976496,9.190234444,7.794999636,7.794999636,5.537023368,4.0957446,4.0957446,3.989859598,3.989859598,1.91279177,1.91279177,1.061686999,1.061686999,2.7966,50.5295,162.232,162.1044651,12,148.12,0,1,1,0,1,1,64,0,1,1,0,0,1,0,0,0,0,0,0,1,0.363636364,0,0,17.07,73.41763579,0,4.794537184,0,0,0,45.03667987,10.97844196,5.563451492,0,6.286160523,0,0,0,0,4.794537184,0,0,0,26.18620207,0,35.39237126,0,0,6.286160523,0,6.286160523,5.414990469,0,36.69265177,24.26546827,0,0,0,0,0,0,0,5.414990469,0,11.84961201,5.563451492,0,24.26546827,20.7712116,0,4.794537184,0,0,0,0,0,0,0,0,0,27.58333333,0,0,66.54273263,427.3966764,493.9394091,0.134718412,0.865281588,1.826122835,0.013003397,0.990883923,0.650291916,0,1,0,1,0,0
10908,4-tert-butyltoluene//[RoW] 4-tert-butyltoluene production,CC1=CC=C(C=C1)C(C)(C)C,Cc1ccc(C(C)(C)C)cc1,0.006627932,11,16,2.993754788,223.2103774,230.7347201,-0.78,8.317847358,2.689337151,2.074798911,8.483127663,7.809401077,7.809401077,4.999018566,4.071367205,4.071367205,4.116025404,4.116025404,1.91759225,1.91759225,1.053561201,1.053561201,3.29252,49.879,148.249,148.1252005,11,132.121,0,0,0,0,0,0,60,0,1,1,0,0,1,0,0,0,0,0,0,1,0.454545455,0,0,0,69.25611369,0,0,0,0,0,50.60013136,17.90217916,0,0,0,0,0,0,0,0,0,0,0,33.10993927,0,35.39237126,0,0,0,0,0,5.414990469,6.9237372,31.89811458,24.26546827,0,0,0,0,0,0,0,5.414990469,0,0,11.12690298,0,0,51.96041707,0,0,0,0,0,0,0,0,0,0,0,20.58333333,0,0,60.05288083,282.8044545,342.8573354,0.175154137,0.824845863,1.610908217,0.013735325,0.984541024,0.566574503,0,0,0,0,0,0
10910,acetaldehyde//[RoW] acetaldehyde production,CC=O,CC=O,0.007328629,3,4,2.187496097,10.26466251,2.754887502,-0.33,2.67,1.67,1.67,2.707106781,1.98559856,1.98559856,1.414213562,0.81305253,0.81305253,0.23570226,0.23570226,0,0,0,0,0.2052,11.738,44.053,44.02621475,3,40.021,0,1,1,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,17.07,19.26571524,4.794537184,0,0,0,0,0,6.9237372,0,0,6.286160523,0,0,0,0,4.794537184,0,0,0,6.9237372,0,0,0,0,6.286160523,0,6.286160523,4.794537184,0,6.9237372,0,0,0,0,0,0,0,0,0,0,6.286160523,6.9237372,0,0,0,4.794537184,0,0,0,0,0,0,0,0,0,0,11,0,0,2.087149105,20.72266505,22.80981415,0.091502241,0.908497759,0.754947768,0.435281676,0.99580487,0.750611258,0,1,0,1,0,0
10912,acetanilide//[RoW] acetanilide production,CC(=O)NC1=CC=CC=C1,CC(=O)Nc1ccccc1,0.030804672,10,9,2.674241602,217.9590175,195.625462,-1.31,6.805074799,3.011779445,1.895375402,7.397341225,5.794999636,5.794999636,4.7876937,3.114807748,3.114807748,2.047211622,2.047211622,1.094157672,1.094157672,0.724749318,0.724749318,1.645,40.7457,135.166,135.0684139,10,126.094,1,2,1,1,2,1,52,1,1,1,0,0,1,0,0,0,0,0,0,1,0.125,0,0,29.1,59.87267163,5.316788604,4.794537184,0,0,0,18.19910121,12.13273414,12.61112347,0,0,0,5.907179729,0,0,4.794537184,0,0,0,6.9237372,5.316788604,30.33183534,0,0,11.594566,5.316788604,5.907179729,4.794537184,0,6.9237372,30.33183534,0,0,0,5.687386275,0,0,0,5.907179729,0,5.687386275,6.9237372,0,30.33183534,5.316788604,0,4.794537184,0,0,0,0,0,0,0,0,0,24.83333333,0,0,58.60899817,264.6853788,323.2943769,0.181286785,0.818713215,1.601223166,0.01396907,0.983430273,0.55473434,0,1,1,2,1,0
10913,"acetic acid, without water, in 98% solution state//[RoW] acetic acid production, product in 98% solution state",CC(=O)O,CC(=O)O,0.00878079,4,4,2.803039488,27.01955001,3.245112498,-0.53,3.47,0.8748583,1.156009256,3.577350269,2.355461886,2.355461886,1.732050808,0.927730943,0.927730943,0.519018036,0.519018036,0,0,0,0,0.0909,13.3098,60.052,60.02112937,4,56.02,1,2,1,1,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,37.3,24.05994899,5.106527395,4.794537184,0,0,0,0,0,6.9237372,0,0,0,0,5.969305288,0,9.901064579,0,0,0,6.9237372,0,0,0,0,5.969305288,0,11.07583268,4.794537184,0,6.9237372,0,0,0,0,0,0,0,5.969305288,0,0,6.9237372,0,0,0,0,9.901064579,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,19.72573146,23.99815052,43.72388199,0.451143187,0.548856813,0.883461858,0.027824409,0.892451581,0.257160965,0,1,1,2,1,0
10914,"acetic anhydride//[RoW] acetic anhydride production, ketene route",CC(=O)OC(=O)C,CC(=O)OC(C)=O,0.017123024,7,6,3.31801959,83.10802962,19.09358393,-0.86,6.14,2.336829675,5.14,5.86180732,4.224744871,4.224744871,3.125897658,1.816496581,1.816496581,1.08522532,1.08522532,0.287457479,0.287457479,0.202405751,0.202405751,0.096,22.447,102.089,102.0316941,7,96.041,0,3,3,0,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,43.37,41.2706668,4.736862954,9.589074368,0,0,0,0,0,13.8474744,0,0,0,0,0,11.93861058,14.32593732,0,0,0,13.8474744,0,0,0,0,11.93861058,0,11.93861058,14.32593732,0,13.8474744,0,0,0,0,0,0,0,11.93861058,0,0,0,13.8474744,0,0,4.736862954,0,9.589074368,0,0,0,0,0,0,0,0,0,24.83333333,0,0,40.50701239,114.0833267,154.590339,0.262028097,0.737971903,1.268711388,0.018218374,0.965060245,0.41989188,0,3,0,3,0,0
